ranking,percent_fem,revenue,title,poster_path,vote_average,vote_count,year,wave,alt_revenue,alt_title
1,33.3,250000,Persona,/mOodF10mRLMHYl8iOsyszm92hVi.jpg,8,353,1966,2,245066411,The Godfather
2,16.7,104931801,Alien,/vfrQk5IPloGg1v9Rzbh2Eg3VGyM.jpg,7.9,4564,1979,2,108981275,One Flew Over the Cuckoo's Nest
3,23.1,6117812,A Woman Under the Influence,/zdXEvgULYlz53iUsFWO244ZMKXC.jpg,7.8,87,1974,2,47542841,The Godfather: Part II
4,44.4,1886,Cleo from 5 to 7,/fc62ik80Vp785tj6L92yZhGx4Hl.jpg,7.7,58,1962,2,28262574,Taxi Driver
5,28.6,7600000,The Umbrellas of Cherbourg,/jgB88XoKb3uOPPvGKNuE9wuaxDE.jpg,7.6,119,1964,2,6000000,"The Good, the Bad and the Ugly"
6,18.2,24517,Vivre Sa Vie,/lYTAYclvYIa1SR4wRwMW7OwGp86.jpg,7.6,105,1962,2,9440272,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
7,57.1,13692,Daisies,/7LYp1ADG89rWeeY81ctxe73VEqp.jpg,7.3,54,1966,2,13129846,To Kill a Mockingbird
8,26.3,67182787,Coal Miner's Daughter,/bzHFDAdUad4QcHPi2UOqvaQKNWA.jpg,7.2,67,1980,2,30000000,Chinatown
9,39.3,33800000,Carrie,/uc3OvgmbnYaS5Y0BOjSmC1EmSz1.jpg,7,977,1976,2,69995385,Lawrence of Arabia
10,40.0,1500000,3 Women,/uL5Yg8MEgHGXymTaJBYXn9g0xsH.jpg,6.8,66,1977,2,38251425,Annie Hall
