ranking,percent_fem,revenue,title,poster_path,vote_average,vote_count,year,wave,alt_revenue,alt_title
1,45.8,13092000,Whiplash,/6uSPcdGNA2A6vJmCagXkvnutegs.jpg,8.3,4376,2014,4,378858340,Mad Max: Fury Road
2,45.0,426480871,The Intouchables,/w7WxNbb0mcWpwDMd3pJA7LQRfnt.jpg,8.2,5410,2011,4,716392705,Gravity
3,32.6,675120017,Interstellar,/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg,8.1,11187,2014,4,1274219009,Frozen
4,66.7,35401758,Room,/pCURNjeomWbMSdiP64gj8NVVHTQ.jpg,8.1,2838,2015,4,643034466,Moana
5,27.9,174600318,The Grand Budapest Hotel,/eWdyYQreja6JGCzqHWXpWHDrrPo.jpg,8,4644,2014,4,820580447,Wonder Woman
6,41.4,233555708,The Imitation Game,/zSqJ1qFq8NXFfi7JeIYMlzyR0dx.jpg,8,5895,2014,4,62076141,Brooklyn
7,28.6,140302754,Lion,/iBGRbLvg6kVc7wbS8wDdVHq6otm.jpg,8,1699,2016,4,16002420,Suffragette
8,54.2,1342000000,Harry Potter and the Deathly Hallows: Part 2,/da22ZBmrDOXOCDRvr8Gic8ldhv4.jpg,7.9,6141,2011,4,691210692,The Hunger Games
9,66.7,124272124,The Help,/7XLSwxpfpPoJyTdJVot6a42TS2V.jpg,7.9,1966,2011,4,132820716,Zero Dark Thirty
10,44.0,122126687,Prisoners,/tuZhZ6biFMr5n9YSVuHOJnNL1uU.jpg,7.9,3183,2013,4,6676471,The Babadook
