ranking,percent_fem,revenue,title,poster_path,vote_average,vote_count,year,wave
1,13.6,21877,The Passion of Joan of Arc,/8OYGtQlO8k9PcOm49apV62eVJQo.jpg,8.2,159,1928,1
2,40.6,63463,All About Eve,/6numIZH6uR3NlJgY9m7nGH0jhs.jpg,8,367,1950,1
3,40.0,0,Meshes of the Afternoon,/8yXHYjCETselsH2KWwrVYcjzPjr.jpg,7.7,57,1943,1
4,9.5,2500000,Johnny Guitar,/lAlDRrhKbZMR7fQeXyrScNheSbb.jpg,7.6,78,1954,1
5,13.2,296000,His Girl Friday,/fmQLvnDEL9wlE6FzB1S84yskdkT.jpg,7.5,171,1940,1
6,27.3,0,Diary of a Lost Girl,/uDR1Tt2pFR0M3gUFCJ1w2oiVYlM.jpg,7.4,20,1929,1
7,20.9,3947000,Adam's Rib,/vRxbZQvyaIKRWQMR53Ylfm6JXgU.jpg,7.2,71,1949,1
8,28.0,5300000,Gentlemen Prefer Blondes,/nC52q5uPctQekwLVn8FFuy1kybf.jpg,7.1,169,1953,1
9,76.7,2270000,The Women,/wMTbDI60uvt7ecLZ301XEE8mAOo.jpg,6.4,26,1939,1
10,21.6,0,"Dance, Girl, Dance",/JoQXhwx0IaxPBvvPunjPrWAKlR.jpg,5.6,11,1940,1
