ranking,percent_fem,revenue,title,poster_path,vote_average,vote_count,year,wave
1,0,1000000,12 Angry Men,/ppd84D2i9W8jXmsyInGyihiSyqz.jpg,8.2,2130,1957,1
2,47.6,36764313,Rear Window,/ILVF0eJxHMddjxeQhswFtpMtqx.jpg,8.2,1531,1954,1
3,3.8,271841,Seven Samurai,/bm0EE7jeFIqATc9yLkv5no2yvRX.jpg,8.2,892,1954,1
4,32.4,5000000,Sunset Boulevard,/zt8aQ6ksqK6p1AopC5zVTDS9pKT.jpg,8.2,533,1950,1
5,10.7,19181,City Lights,/eWEItyc6NvttKTCGOuhHzypHFqa.jpg,8.2,444,1931,1
6,7,11000000,The Great Dictator,/1QpO9wo7JWecZ4NiBuu625FiY1j.jpg,8.1,756,1940,1
7,32.4,9000000,Witness for the Prosecution,/bCj4EfuehAlgBwVd3diyWyhuuau.jpg,8.1,278,1957,1
8,18.6,23217674,Citizen Kane,/sav0jxhqiH0bPr2vZFU0Kjt2nZL.jpg,8,1244,1941,1
9,25,28000000,Vertigo,/15uOEfqBNTVtDUT7hGBVCka0rZz.jpg,8,1162,1958,1
10,27.6,9644124,It's a Wonderful Life,/rgj6QjdyCeDrO9KGt1kusGyhvb2.jpg,8,1103,1946,1
